ZIP_ID,Zip_Code,City_Name,Population_est,People__Sq_Mile,city_std,lat,lon
136,27873,"Saratoga, North Carolina",380,562.94,Saratoga,35.653485,-77.775669
137,28027,"Concord, North Carolina","32,111",562.42,Concord,35.418638,-80.672995
138,28512,"Atlantic Beach, North Carolina","3,538",562.14,Atlantic Beach,34.700349,-76.772549
139,28160,"Spindale, North Carolina","4,213",558.11,Spindale,35.361053,-81.92192
140,28348,"Hope Mills, North Carolina","25,617",555.21,Hope Mills,34.927413,-78.910283
141,28120,"Mount Holly, North Carolina","15,595",549.77,Mount Holly,35.328651,-81.026393
142,28546,"Jacksonville, North Carolina","31,572",535.47,Jacksonville,34.798974,-77.356169
143,27545,"Knightdale, North Carolina","15,708",533.84,Knightdale,35.783679,-78.478141
144,28019,"Caroleen, North Carolina",617,524.84,Caroleen,35.28191,-81.791064
145,27954,"Manteo, North Carolina","5,168",523.82,Manteo,35.906773,-75.679726
146,27012,"Clemmons, North Carolina","21,619",520.48,Clemmons,36.00727,-80.377147
147,28104,"Matthews, North Carolina","19,107",519.81,Matthews,35.0645,-80.684658
148,27529,"Garner, North Carolina","30,289",515.71,Garner,35.641675,-78.584673
149,27555,"Micro, North Carolina",449,513.24,Micro,35.564179,-78.200018
150,27284,"Kernersville, North Carolina","41,705",511.88,Kernersville,36.11822,-80.076287
151,27215,"Burlington, North Carolina","33,439",504.35,Burlington,36.032628,-79.48481
152,28638,"Hudson, North Carolina","12,125",492.32,Hudson,35.848076,-81.474623
153,27712,"Durham, North Carolina","17,760",491.39,Durham,36.095588,-78.905968
154,28387,"Southern Pines, North Carolina","13,242",485.17,Southern Pines,35.186729,-79.38069
155,28690,"Valdese, North Carolina","9,603",480.06,Valdese,35.737117,-81.574971
156,27360,"Thomasville, North Carolina","41,894",478.93,Thomasville,35.860582,-80.099285
157,28411,"Wilmington, North Carolina","17,332",476.29,Wilmington,34.298304,-77.80304
158,28613,"Conover, North Carolina","20,115",470.8,Conover,35.740244,-81.211617
159,27803,"Rocky Mount, North Carolina","21,805",467.22,Rocky Mount,35.903051,-77.856172
160,28540,"Jacksonville, North Carolina","45,074",465.97,Jacksonville,34.76346,-77.503297
161,28374,"Pinehurst, North Carolina","11,314",464.05,Pinehurst,35.197261,-79.457888
