pid,zipcode,own_occ,av_total,land_sf,yr_built,yr_remod,living_area,num_floors,structure_class,r_bldg_styl,r_roof_typ,r_ext_fin,r_total_rms,r_bdrms,r_full_bth,r_half_bth,r_bth_style,r_kitch,r_kitch_style,r_heat_typ,r_ac,r_fplace,r_ext_cnd,r_ovrall_cnd,r_int_cnd,r_int_fin,r_view,zip,Population,Pop_Density,Median_Income,City_State
109750,2132,Y,531100,8312,1920,2008,1470,2,R,CL,G,W,7,3,1,1,S,1,M,W,N,1,A,A,A,N,A,02132,36314,13251,75446,"Cambridge, MA"
109760,2132,Y,492000,5869,1928,0,1538,2,R,CL,L,W,6,3,1,2,M,1,M,W,N,1,A,A,G,N,A,02132,36314,13251,75446,"Cambridge, MA"
109770,2130,Y,737700,8150,1960,NA,2056,1,R,SL,G,W,6,3,2,0,S,1,N,W,N,1,G,G,G,N,A,02130,35401,10618,75730,"Jamaica Plain, MA"
109780,2132,Y,417100,6415,1960,0,1311,1,R,TL,G,M,7,3,1,1,S,1,S,W,N,1,A,A,A,N,A,02132,36314,13251,75446,"Cambridge, MA"
109790,2132,Y,482700,6000,1954,2012,1377,1,R,RN,G,M,6,3,2,1,S,1,S,W,C,1,G,A,A,N,A,02132,36314,13251,75446,"Cambridge, MA"
109800,2124,Y,566500,6420,1885,2010,2110,2,R,CL,G,W,8,3,1,1,N,1,M,F,N,1,G,G,G,N,A,02124,47783,15913,48841,"Dorchester Center, MA"
109810,2130,Y,967000,9464,1925,2004,2760,1.5,R,CP,G,A,7,4,2,0,M,1,M,W,N,1,G,G,G,N,A,02130,35401,10618,75730,"Jamaica Plain, MA"
109820,2131,Y,576200,5000,1890,0,3014,2,R,CL,H,M,10,6,2,0,S,1,M,F,N,0,A,A,A,N,A,02131,29826,11505,66735,"Roslindale, MA"
109830,2132,Y,394000,5810,1984,0,1100,2,R,SD,G,M,5,2,1,1,S,1,S,E,C,0,A,A,A,N,A,02132,36314,13251,75446,"Cambridge, MA"
109850,2132,Y,490600,4881,1936,2016,1568,2,R,CL,G,W,7,3,1,1,M,1,M,W,N,1,A,A,G,N,A,02132,36314,13251,75446,"Cambridge, MA"
109860,2132,Y,346700,4310,1930,0,1428,1.5,R,CP,G,M,6,2,1,1,S,1,S,W,N,1,A,G,A,N,A,02132,36314,13251,75446,"Cambridge, MA"
109870,2132,Y,552500,6932,1950,2016,1565,1,R,CP,G,W,8,3,1,1,M,1,M,W,N,1,A,A,A,N,A,02132,36314,13251,75446,"Cambridge, MA"
109880,2132,Y,694300,8153,1902,2004,2854,2,R,CL,G,W,9,5,2,0,S,1,S,F,N,2,G,A,A,N,A,02132,36314,13251,75446,"Cambridge, MA"
109890,2132,Y,365100,6200,1963,1978,1726,1,R,RR,G,M,6,3,2,0,S,1,S,W,C,0,A,A,A,N,A,02132,36314,13251,75446,"Cambridge, MA"
109900,2131,Y,431200,4095,1935,0,1511,2,R,CL,H,S,9,4,1,1,S,1,S,W,C,0,A,A,A,N,A,02131,29826,11505,66735,"Roslindale, MA"
109910,2132,Y,490500,6375,1887,0,1766,2.5,R,CL,G,M,6,3,1,1,S,1,S,F,N,0,A,A,A,N,A,02132,36314,13251,75446,"Cambridge, MA"
109920,2136,Y,489000,12207,1946,1996,1956,2,R,CL,G,M,7,4,1,1,S,1,S,W,N,0,G,A,A,N,A,02136,28488,6207,58890,"Hyde Park, MA"
109940,2131,Y,439200,5009,1886,0,1541,2,R,CL,G,W,8,5,1,1,M,1,S,W,N,0,A,A,A,N,A,02131,29826,11505,66735,"Roslindale, MA"
109950,2131,Y,276300,4978,1940,0,937,1,R,CP,G,M,6,2,1,0,S,1,S,F,N,1,A,A,G,N,G,02131,29826,11505,66735,"Roslindale, MA"
109960,2136,Y,316000,7383,1950,0,1781,1,R,RR,G,M,7,3,1,1,S,1,S,F,C,0,A,A,A,N,A,02136,28488,6207,58890,"Hyde Park, MA"
109990,2124,Y,380800,3040,1898,0,2453,2,R,CL,G,M,10,4,2,0,S,1,S,W,N,0,G,A,A,N,A,02124,47783,15913,48841,"Dorchester Center, MA"
110000,2132,Y,414000,14200,1960,0,1204,1,R,RN,G,M,5,2,1,1,S,1,S,W,C,1,A,A,A,N,A,02132,36314,13251,75446,"Cambridge, MA"
110010,2124,Y,306200,4213,1885,0,2503,2,R,CL,G,M,7,4,1,1,N,1,S,F,N,1,A,A,A,N,A,02124,47783,15913,48841,"Dorchester Center, MA"
110030,2132,Y,438400,6000,1922,1994,2021,2,R,CL,G,M,10,6,1,1,S,1,S,W,N,0,A,A,A,N,A,02132,36314,13251,75446,"Cambridge, MA"
110040,2136,Y,394500,11709,1956,0,1306,1.5,R,CP,G,M,5,3,1,1,S,1,S,W,N,1,A,A,A,N,A,02136,28488,6207,58890,"Hyde Park, MA"
110050,2132,Y,400100,5050,1955,0,1414,1.5,R,CP,G,M,6,2,1,1,S,1,S,W,N,1,A,A,A,N,A,02132,36314,13251,75446,"Cambridge, MA"
110070,2136,Y,467500,6093,1999,NA,1560,2,R,CL,G,M,8,4,2,2,M,1,M,F,C,0,G,G,G,N,A,02136,28488,6207,58890,"Hyde Park, MA"
110100,2136,Y,349200,6350,1910,0,1533,1.5,R,CV,G,M,7,4,2,0,S,1,S,F,C,0,A,A,A,N,A,02136,28488,6207,58890,"Hyde Park, MA"
110120,2124,Y,295600,3992,1910,0,3007,2.5,R,CL,G,M,10,7,2,0,M,1,M,W,N,0,A,A,A,N,A,02124,47783,15913,48841,"Dorchester Center, MA"
110140,2124,Y,388900,6300,1925,0,1184,1,R,RN,G,M,5,2,1,0,M,1,M,W,N,1,A,A,G,N,A,02124,47783,15913,48841,"Dorchester Center, MA"
110150,2131,Y,746800,5900,2007,NA,2706,2,R,CL,G,M,7,4,2,1,M,1,M,F,C,1,G,G,G,N,A,02131,29826,11505,66735,"Roslindale, MA"
110160,2132,Y,515200,5926,1910,0,1856,2,R,CL,G,M,7,4,1,1,S,1,S,W,N,1,A,A,A,N,A,02132,36314,13251,75446,"Cambridge, MA"
110170,2132,Y,448700,3525,1967,0,1620,2,R,CL,G,M,9,4,2,1,M,1,M,W,N,1,A,A,A,N,A,02132,36314,13251,75446,"Cambridge, MA"
110180,2136,Y,310800,5470,1920,0,1449,2,R,CL,G,W,7,3,1,0,S,1,S,W,N,0,A,A,A,N,A,02136,28488,6207,58890,"Hyde Park, MA"
110190,2136,Y,324500,4500,1950,0,1690,1,R,CP,G,M,7,5,2,0,S,1,S,F,N,1,A,A,A,N,A,02136,28488,6207,58890,"Hyde Park, MA"
110200,2136,Y,315900,5020,1961,0,848,1,R,RN,G,M,4,2,1,1,S,1,S,W,N,0,A,A,A,N,A,02136,28488,6207,58890,"Hyde Park, MA"
110210,2136,Y,411400,8978,1957,0,1194,1,R,RN,H,B,9,4,1,1,M,2,M,W,N,2,G,A,A,N,A,02136,28488,6207,58890,"Hyde Park, MA"
110220,2136,Y,295800,3600,1900,2016,1793,2,R,CL,G,M,7,3,1,1,M,1,M,F,N,0,A,A,G,N,A,02136,28488,6207,58890,"Hyde Park, MA"
110230,2132,Y,385400,7100,1950,0,1428,1.5,R,CP,G,W,6,3,1,1,S,1,S,W,N,1,A,A,A,N,A,02132,36314,13251,75446,"Cambridge, MA"
110250,2136,Y,345100,8468,1950,0,1381,1,R,CP,G,M,7,3,1,0,S,1,S,W,N,1,A,A,A,N,A,02136,28488,6207,58890,"Hyde Park, MA"
110280,2136,N,388000,5979,1950,0,1221,1,R,RN,G,A,7,3,2,0,S,1,M,W,C,1,A,A,G,N,A,02136,28488,6207,58890,"Hyde Park, MA"
110290,2132,Y,361700,5202,1960,2014,1306,1.5,R,CP,G,M,6,4,2,0,S,1,S,W,N,1,A,A,A,N,A,02132,36314,13251,75446,"Cambridge, MA"
110310,2132,N,335600,4008,1935,0,1398,1.5,R,CP,G,M,6,3,1,1,S,1,S,W,N,0,A,A,A,N,A,02132,36314,13251,75446,"Cambridge, MA"
110320,2136,Y,352500,8702,1910,0,1954,2,R,CL,G,M,8,4,2,1,S,1,S,W,N,0,A,A,A,N,A,02136,28488,6207,58890,"Hyde Park, MA"
110330,2131,Y,448500,4730,1910,0,1867,2,R,CL,G,M,7,3,1,0,S,1,M,F,N,1,A,A,A,N,A,02131,29826,11505,66735,"Roslindale, MA"
110340,2130,Y,646300,6005,1920,0,1620,2,R,CL,M,A,8,5,1,0,S,1,S,W,N,0,A,A,A,N,A,02130,35401,10618,75730,"Jamaica Plain, MA"
110370,2124,Y,212900,4222,1928,2005,2096,1.5,R,CP,G,M,8,4,2,0,N,1,N,W,N,1,A,F,F,N,A,02124,47783,15913,48841,"Dorchester Center, MA"
110390,2131,Y,565800,3696,1915,2011,2073,2,R,CL,G,M,8,3,3,0,M,1,M,F,C,0,A,G,G,N,A,02131,29826,11505,66735,"Roslindale, MA"
110410,2124,Y,414500,2513,1925,1950,1844,2,R,CL,G,M,10,5,2,1,M,1,M,W,N,1,A,A,G,N,A,02124,47783,15913,48841,"Dorchester Center, MA"
110440,2136,Y,230100,3340,1910,0,1415,2,R,CL,G,M,7,4,1,0,S,1,S,W,N,1,A,A,A,N,A,02136,28488,6207,58890,"Hyde Park, MA"
110450,2132,Y,629400,12024,1870,0,2445,1.5,R,CP,G,F,9,5,1,2,S,1,S,W,N,0,A,A,A,N,A,02132,36314,13251,75446,"Cambridge, MA"
110470,2131,Y,287700,1373,1950,0,1020,2,R,RM,G,M,5,3,1,1,S,1,S,W,N,0,A,A,G,N,A,02131,29826,11505,66735,"Roslindale, MA"
110480,2132,Y,580500,5564,1928,0,1953,2,R,CL,H,B,8,4,1,1,N,1,S,W,N,1,G,G,A,N,A,02132,36314,13251,75446,"Cambridge, MA"
110500,2132,Y,553800,12870,1961,0,2193,1,R,RN,G,F,7,3,1,2,S,1,S,W,C,2,A,A,A,N,A,02132,36314,13251,75446,"Cambridge, MA"
110510,2136,Y,357200,5050,1957,2009,1306,1.5,R,CP,G,M,8,2,1,1,S,1,M,F,N,0,G,A,A,N,A,02136,28488,6207,58890,"Hyde Park, MA"
110520,2136,Y,337300,5500,1935,0,1056,2,R,CL,H,W,5,2,1,0,S,1,S,W,N,1,G,A,A,N,A,02136,28488,6207,58890,"Hyde Park, MA"
110530,2130,N,969900,4840,1935,0,2780,2,R,CL,L,F,8,3,2,1,S,1,S,W,N,1,G,G,G,N,E,02130,35401,10618,75730,"Jamaica Plain, MA"
110540,2132,Y,322200,3824,1927,0,1230,1,R,BW,G,M,6,2,1,0,S,1,N,W,N,0,A,A,A,N,A,02132,36314,13251,75446,"Cambridge, MA"
110560,2132,Y,468100,5500,1932,2013,1556,2,R,CL,L,M,7,3,2,1,S,1,M,W,N,1,A,A,A,N,A,02132,36314,13251,75446,"Cambridge, MA"
110570,2132,Y,364100,3200,1930,2012,1303,2,R,CL,H,A,7,3,1,1,M,1,S,W,C,0,A,A,A,N,A,02132,36314,13251,75446,"Cambridge, MA"
110580,2136,Y,324300,6250,1950,0,1361,1,R,CP,G,M,6,3,1,0,S,1,M,W,N,0,A,A,A,N,A,02136,28488,6207,58890,"Hyde Park, MA"
110590,2124,Y,348200,3600,1895,0,1630,2,R,CL,G,M,7,4,1,0,S,1,N,W,N,0,G,A,A,N,A,02124,47783,15913,48841,"Dorchester Center, MA"
110650,2136,Y,362600,11487,1953,0,1306,1.5,R,CP,S,M,7,4,1,1,S,1,S,W,N,1,A,A,A,N,A,02136,28488,6207,58890,"Hyde Park, MA"
110660,2132,Y,448100,4490,1955,2014,1075,1,R,CP,G,M,6,3,1,1,M,1,M,F,C,1,A,G,G,N,A,02132,36314,13251,75446,"Cambridge, MA"
110670,2136,N,350600,5000,1945,0,1610,2,R,CL,G,M,8,3,1,0,M,1,M,W,N,1,A,A,A,N,A,02136,28488,6207,58890,"Hyde Park, MA"
110680,2130,Y,394680,2428,1950,0,816,2,R,RM,G,M,4,2,1,1,S,1,S,F,N,0,A,A,A,N,A,02130,35401,10618,75730,"Jamaica Plain, MA"
110690,2124,Y,445000,7329,1945,0,1612,2,R,CL,G,M,8,4,2,1,S,1,M,W,N,1,A,A,A,N,G,02124,47783,15913,48841,"Dorchester Center, MA"
110700,2132,Y,382500,4888,1960,0,1075,1,R,CP,G,M,5,3,1,1,M,1,M,F,N,0,A,A,A,N,A,02132,36314,13251,75446,"Cambridge, MA"
110710,2132,Y,494100,2837,2001,NA,1735,2,R,CL,G,M,7,3,3,1,M,1,M,F,C,1,G,G,G,N,A,02132,36314,13251,75446,"Cambridge, MA"
110720,2136,Y,362900,6300,1958,0,1680,1.5,R,CP,G,M,8,3,2,1,S,1,S,W,N,1,A,A,G,N,A,02136,28488,6207,58890,"Hyde Park, MA"
