symbol,date,open,high,low,close,volume,adjusted
SPY,2019-08-08,289.619995,293.619995,289.01001,293.619995,87713900,278.528015
SPY,2019-08-09,292.579987,293.23999,289.649994,291.619995,93730000,276.630798
SPY,2019-08-12,289.959991,291.609985,287.019989,288.070007,65527600,273.263306
SPY,2019-08-13,287.73999,294.149994,287.359985,292.549988,94299800,277.513031
SPY,2019-08-14,288.070007,288.73999,283.76001,283.899994,135622100,269.307617
SPY,2019-08-15,284.880005,285.640015,282.390015,284.649994,99556600,270.019073
SPY,2019-08-16,286.480011,289.329987,284.709991,288.850006,83018300,274.003204
SPY,2019-08-19,292.190002,293.079987,291.440002,292.329987,53571800,277.304321
SPY,2019-08-20,291.769989,292.359985,289.950012,290.089996,51596400,275.179443
SPY,2019-08-21,292.480011,292.859985,291.720001,292.450012,49524700,277.418121
SPY,2019-08-22,293.230011,293.929993,290.399994,292.359985,51666400,277.332764
SPY,2019-08-23,290.920013,292.76001,283.470001,284.850006,149161500,270.20874
SPY,2019-08-26,287.269989,288,285.579987,288,72423800,273.196869
SPY,2019-08-27,289.540009,289.950012,286.029999,286.869995,66668900,272.124969
SPY,2019-08-28,286.140015,289.070007,285.25,288.890015,59696700,274.041107
SPY,2019-08-29,291.720001,293.160004,290.609985,292.579987,57899400,277.541443
SPY,2019-08-30,294.220001,294.23999,291.420013,292.450012,62901200,277.418121
SPY,2019-09-03,290.570007,291.579987,289.269989,290.73999,69101400,275.796051
SPY,2019-09-04,293.140015,294.059998,292.309998,294.040009,46887300,278.926453
SPY,2019-09-05,296.790009,298.829987,294,297.820007,83258100,282.512115
SPY,2019-09-06,298.170013,298.76001,297.420013,298.049988,49584300,282.730316
SPY,2019-09-09,299.140015,299.23999,297.160004,298.200012,51260300,282.872559
SPY,2019-09-10,297.359985,298.200012,295.970001,298.130005,57947100,282.806152
SPY,2019-09-11,298.470001,300.339996,297.75,300.25,68821100,284.817261
SPY,2019-09-12,301.25,302.459991,300.410004,301.290009,72908700,285.803711
SPY,2019-09-13,301.779999,302.170013,300.679993,301.089996,62104800,285.614075
SPY,2019-09-16,299.839996,301.140015,299.450012,300.160004,58191200,284.731903
SPY,2019-09-17,299.940002,301.019989,299.75,300.920013,41475500,285.452789
SPY,2019-09-18,300.48999,301.220001,298.23999,301.100006,73375800,285.623535
SPY,2019-09-19,301.529999,302.630005,300.709991,301.079987,76560500,285.604553
SPY,2019-09-20,300.359985,300.670013,297.410004,298.279999,89565000,284.255096
SPY,2019-09-23,297.549988,299,297.269989,298.209991,43476800,284.188416
SPY,2019-09-24,299.410004,299.839996,294.809998,295.869995,94869400,281.958435
SPY,2019-09-25,295.959991,298.109985,294.329987,297.619995,71854000,283.626251
SPY,2019-09-26,297.630005,297.859985,295.450012,297,56179700,283.035339
SPY,2019-09-27,297.829987,297.950012,293.690002,295.399994,84746600,281.510529
SPY,2019-09-30,295.970001,297.549988,295.920013,296.769989,51662400,282.816132
SPY,2019-10-01,297.73999,298.459991,293,293.23999,88242400,279.452118
SPY,2019-10-02,291.5,291.51001,286.640015,288.059998,122539500,274.515656
SPY,2019-10-03,287.809998,290.450012,284.820007,290.420013,85278800,276.764679
SPY,2019-10-04,291.140015,294.630005,291.079987,294.350006,65091200,280.509888
SPY,2019-10-07,293.470001,295.26001,292.769989,293.079987,59610500,279.299652
SPY,2019-10-08,291.040009,291.850006,288.48999,288.529999,95708100,274.963623
SPY,2019-10-09,290.75,292.299988,290.059998,291.269989,62359400,277.574707
SPY,2019-10-10,291.179993,294.209991,291,293.23999,55296300,279.452118
SPY,2019-10-11,296.269989,298.73999,296.140015,296.279999,98720400,282.349121
SPY,2019-10-14,295.929993,296.670013,295.570007,295.950012,40394800,282.034698
SPY,2019-10-15,297.100006,299.700012,296.970001,298.880005,46754500,284.826935
SPY,2019-10-16,298.369995,299.160004,297.920013,298.399994,48928200,284.369537
SPY,2019-10-17,299.679993,300.23999,298.519989,299.279999,45736600,285.20813
SPY,2019-10-18,298.690002,299.399994,297.029999,297.970001,64304000,283.959686
SPY,2019-10-21,299.420013,300.209991,298.940002,299.98999,39048600,285.884766
SPY,2019-10-22,300.579987,300.899994,298.910004,299.01001,48594700,284.950836
SPY,2019-10-23,298.730011,299.940002,298.5,299.880005,34352200,285.779907
SPY,2019-10-24,300.910004,301.070007,299.459991,300.369995,35453100,286.246826
SPY,2019-10-25,299.73999,302.200012,299.679993,301.600006,45205400,287.419037
SPY,2019-10-28,302.940002,303.850006,302.910004,303.299988,42147000,289.039063
SPY,2019-10-29,303,304.230011,302.859985,303.209991,44284900,288.953308
SPY,2019-10-30,303.429993,304.549988,301.98999,304.140015,49643900,289.83963
SPY,2019-10-31,304.130005,304.130005,301.730011,303.329987,69053800,289.067719
SPY,2019-11-01,304.920013,306.190002,304.73999,306.140015,71141500,291.745575
SPY,2019-11-04,307.850006,308,306.959991,307.369995,60606900,292.917725
SPY,2019-11-05,307.589996,307.920013,306.709991,307.029999,42933200,292.593719
SPY,2019-11-06,307.029999,307.399994,306.059998,307.100006,46487100,292.660431
SPY,2019-11-07,308.570007,309.649994,307.660004,308.179993,54272300,293.689606
SPY,2019-11-08,307.799988,309,307.029999,308.940002,49032100,294.41391
SPY,2019-11-11,307.420013,308.540009,307.269989,308.350006,35797300,293.851685
SPY,2019-11-12,308.75,309.98999,308.149994,309,46484600,294.4711
SPY,2019-11-13,307.910004,309.540009,307.660004,309.100006,53917700,294.566376
SPY,2019-11-14,308.790009,309.640015,308.089996,309.549988,51219900,294.995209
SPY,2019-11-15,311.019989,311.839996,310.26001,311.790009,62023600,297.129913
SPY,2019-11-18,311.529999,312.279999,311.029999,312.019989,49228000,297.349121
SPY,2019-11-19,312.679993,312.690002,311.220001,311.929993,67804700,297.263367
SPY,2019-11-20,311.279999,311.850006,309.059998,310.769989,79406200,296.157928
SPY,2019-11-21,310.890015,311.01001,309.390015,310.269989,54664700,295.681366
SPY,2019-11-22,311.089996,311.23999,309.850006,310.959991,44850200,296.338898
SPY,2019-11-25,311.980011,313.369995,311.980011,313.369995,48647200,298.63559
SPY,2019-11-26,313.410004,314.279999,313.059998,314.079987,37569000,299.312225
SPY,2019-11-27,314.609985,315.480011,314.369995,315.480011,44444600,300.646423
SPY,2019-11-29,314.859985,315.130005,314.059998,314.309998,36592700,299.531372
SPY,2019-12-02,314.589996,314.660004,311.170013,311.640015,75767800,296.987
SPY,2019-12-03,308.649994,309.640015,307.130005,309.549988,73941700,294.995209
SPY,2019-12-04,310.700012,312.119995,310.320007,311.459991,49080000,296.81543
SPY,2019-12-05,312.230011,312.25,310.579987,312.019989,40709000,297.349121
SPY,2019-12-06,314.119995,315.309998,314.109985,314.869995,48927000,300.065094
SPY,2019-12-09,314.440002,315.179993,313.799988,313.880005,34838500,299.121582
SPY,2019-12-10,313.820007,314.549988,312.809998,313.529999,52649800,298.788147
SPY,2019-12-11,314.029999,314.700012,313.440002,314.420013,53429100,299.63623
SPY,2019-12-12,314.429993,317.98999,314.170013,317.130005,96389600,302.218903
SPY,2019-12-13,316.869995,318.670013,316.019989,317.320007,81503900,302.399902
SPY,2019-12-16,319.220001,320.149994,317.25,319.5,82749700,304.477417
SPY,2019-12-17,319.920013,320.25,319.480011,319.570007,61097700,304.544128
SPY,2019-12-18,320,320.25,319.529999,319.589996,48133000,304.56311
SPY,2019-12-19,319.799988,320.980011,319.519989,320.899994,85310500,305.811523
SPY,2019-12-20,320.459991,321.970001,319.390015,320.730011,147142100,307.152313
SPY,2019-12-23,321.589996,321.649994,321.059998,321.220001,52990000,307.621552
SPY,2019-12-24,321.470001,321.519989,320.899994,321.230011,20270000,307.631165
SPY,2019-12-26,321.649994,322.950012,321.640015,322.940002,30911200,309.268707
SPY,2019-12-27,323.73999,323.799988,322.279999,322.859985,42528800,309.192108
SPY,2019-12-30,322.950012,323.100006,320.549988,321.079987,49729100,307.487457
SPY,2019-12-31,320.529999,322.130005,320.149994,321.859985,57077300,308.234436
SPY,2020-01-02,323.540009,324.890015,322.529999,324.869995,59151200,311.116974
SPY,2020-01-03,321.160004,323.640015,321.100006,322.410004,77709700,308.7612
SPY,2020-01-06,320.48999,323.730011,320.359985,323.640015,55653900,309.939087
SPY,2020-01-07,323.019989,323.540009,322.23999,322.730011,40496400,309.067657
SPY,2020-01-08,322.940002,325.779999,322.670013,324.450012,68296000,310.714813
SPY,2020-01-09,326.160004,326.730011,325.519989,326.649994,48473300,312.821686
SPY,2020-01-10,327.290009,327.459991,325.200012,325.709991,53029300,311.921448
SPY,2020-01-13,326.390015,327.959991,325.920013,327.950012,47086800,314.06662
SPY,2020-01-14,327.470001,328.619995,326.839996,327.450012,62832800,313.587769
SPY,2020-01-15,327.350006,329.019989,327.26001,328.190002,72056600,314.296478
SPY,2020-01-16,329.700012,330.920013,329.450012,330.920013,54050300,316.91095
SPY,2020-01-17,331.700012,332.179993,330.850006,331.950012,95846000,317.897308
SPY,2020-01-21,330.899994,332.179993,330.820007,331.299988,77742400,317.27478
SPY,2020-01-22,332.23999,332.950012,331.170013,331.339996,48914900,317.31311
SPY,2020-01-23,330.630005,332.170013,329.410004,331.720001,51963000,317.677063
SPY,2020-01-24,332.440002,332.529999,327.359985,328.769989,87578400,314.851929
SPY,2020-01-27,323.029999,325.119995,322.660004,323.5,84062500,309.805023
SPY,2020-01-28,325.059998,327.850006,323.600006,326.890015,63834000,313.051575
SPY,2020-01-29,328.380005,328.630005,326.399994,326.619995,53888900,312.792908
SPY,2020-01-30,324.359985,327.910004,323.540009,327.679993,75491800,313.808044
SPY,2020-01-31,327,327.170013,320.730011,321.730011,113845600,308.109985
SPY,2020-02-03,323.350006,326.160004,323.220001,324.119995,69083000,310.398804
SPY,2020-02-04,328.070007,330.01001,327.720001,329.059998,62573200,315.129669
SPY,2020-02-05,332.269989,333.089996,330.670013,332.859985,65951100,318.768707
SPY,2020-02-06,333.910004,334.190002,332.799988,333.980011,50359700,319.8414
SPY,2020-02-07,332.820007,333.98999,331.600006,332.200012,64139400,318.13681
SPY,2020-02-10,331.230011,334.75,331.190002,334.679993,42070000,320.511688
SPY,2020-02-11,336.160004,337.019989,334.679993,335.26001,54864500,321.06723
