id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
46297903,"Sunny Isles Beach,  Collins, Aventura -  STR-1456",71762103,Collette,,Hallandale Beach,25.95509,-80.11871,Private room,115,14,0,,,2,179,0,Sunny isles license vacation home rental license
27139667,The Casablanca Suite in Boca Raton,32632633,Regina,,Coconut Creek,26.34557,-80.18241,Entire home/apt,90,180,28,2020-07-09,0.58,3,263,0,000018348.2019119364
665193052431485278,"Premium apartment,  high comfy. Heart of Aventura.",31308712,Patricia,,Hallandale Beach,25.957056380943424,-80.13065011379261,Entire home/apt,227,7,1,2022-08-16,0.81,3,253,1,
42986702,Cozy home ......,249403763,Sara,,Unincorporated,26.3451,-80.19482,Entire home/apt,275,180,0,,,5,365,0,"000019261, 2019121235"
40539653,03 BEACHFRONT - Rustic & Cozy Apartment(4-5 guest),48683393,Dawn,,Pompano Beach,26.22718,-80.08885,Entire home/apt,148,2,111,2022-09-05,3.29,9,149,43,
46054936,🏝It’s a Vibe....💫 Rest and Relaxation 🛌 😴 Queen 🛌,1675945,Anita,,Hollywood,26.01236,-80.11522,Entire home/apt,101,2,71,2022-08-21,3.16,1,79,26,
41459315,🛏🏡⛱🛶 PRIVATE COZY ROOM WITH PRIVATE BATHROOM,314195102,Sevi,,Miramar,25.95016,-80.32712,Private room,120,3,5,2022-03-08,0.30,4,365,1,
606436574169265825,Studio Apartment On The Beach - Free Parking,452666019,White Sands Experiences,,Hollywood,26.01469,-80.11504,Entire home/apt,88,1,8,2022-08-25,1.66,2,273,8,
544793280270624855,Beautiful Large Beach Studio Sleeps 4 w/ Parking,29537330,Dan And Gio,,Hollywood,26.02556,-80.11397,Entire home/apt,159,3,3,2022-07-25,0.38,32,325,3,
53921935,Lovely 1-bedroom with huge patio,64227639,Nina,,Miramar,25.95252626351925,-80.28309592143218,Private room,31,31,0,,,1,254,0,
593748285516457655,"Lovely condo 2bed 2 bath, pool, sleeps up to 6",389493709,Ronnie,,Hallandale Beach,25.95869,-80.12904,Entire home/apt,225,7,2,2022-05-14,0.43,1,356,2,
28410324,Beautiful big house in Miami with HEATED POOL,177190418,Pedro Pablo,,Miramar,25.93708,-80.3486,Entire home/apt,327,2,67,2022-09-18,1.39,1,82,48,2021036699
33587856,PRIVATE COZY & SPACIOUS BEDROOM IN MIAMI LAKES,125415339,Susy,,Miramar,25.93889,-80.3478,Private room,44,2,30,2022-08-09,0.73,6,355,18,2020025564
52577823,3 Bedrooms on the Garden,94111431,Patrick,,Hallandale Beach,25.95889,-80.12921,Entire home/apt,240,9,3,2022-04-25,0.35,10,71,3,
